Mar  1 14:06:54 cs219-laptop kernel: [  166.606692] rraa: 06:20:a6:57:ff:32 : tx_count: 52723, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:54 cs219-laptop kernel: [  166.616872] rraa: 06:20:a6:57:ff:32 : tx_count: 52803, tx_rate: 48M, loss ratio: 28, window size: 40
Mar  1 14:06:54 cs219-laptop kernel: [  166.623034] rraa: 06:20:a6:57:ff:32 : tx_count: 52923, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:54 cs219-laptop kernel: [  166.642183] rraa: 06:20:a6:57:ff:32 : tx_count: 53123, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 14:06:55 cs219-laptop kernel: [  166.652113] rraa: 06:20:a6:57:ff:32 : tx_count: 53203, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:55 cs219-laptop kernel: [  166.664116] rraa: 06:20:a6:57:ff:32 : tx_count: 53443, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:55 cs219-laptop kernel: [  166.668052] rraa: 06:20:a6:57:ff:32 : tx_count: 53523, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:55 cs219-laptop kernel: [  166.692745] rraa: 06:20:a6:57:ff:32 : tx_count: 53803, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:55 cs219-laptop kernel: [  166.694862] rraa: 06:20:a6:57:ff:32 : tx_count: 53843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:56 cs219-laptop kernel: [  166.819777] rraa: 06:20:a6:57:ff:32 : tx_count: 55163, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:56 cs219-laptop kernel: [  166.825959] rraa: 06:20:a6:57:ff:32 : tx_count: 55283, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:58 cs219-laptop kernel: [  167.104179] rraa: 06:20:a6:57:ff:32 : tx_count: 58523, tx_rate: 48M, loss ratio: 20, window size: 40
