Mar  1 19:38:11 cs219-laptop kernel: [   27.085764] rraa: 06:20:a6:57:ff:32 : tx_count: 20490, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.092113] rraa: 06:20:a6:57:ff:32 : tx_count: 20530, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.101133] rraa: 06:20:a6:57:ff:32 : tx_count: 20570, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.106307] rraa: 06:20:a6:57:ff:32 : tx_count: 20610, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.116323] rraa: 06:20:a6:57:ff:32 : tx_count: 20690, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.125387] rraa: 06:20:a6:57:ff:32 : tx_count: 20730, tx_rate: 48M, loss ratio: 28, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.129985] rraa: 06:20:a6:57:ff:32 : tx_count: 20770, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.149461] rraa: 06:20:a6:57:ff:32 : tx_count: 20970, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.157922] rraa: 06:20:a6:57:ff:32 : tx_count: 21050, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.162207] rraa: 06:20:a6:57:ff:32 : tx_count: 21090, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.166612] rraa: 06:20:a6:57:ff:32 : tx_count: 21130, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:12 cs219-laptop kernel: [   27.199705] rraa: 06:20:a6:57:ff:32 : tx_count: 21450, tx_rate: 48M, loss ratio: 14, window size: 40
