Mar  1 13:03:31 cs219-laptop kernel: [   39.606326] rraa: 06:20:a6:57:ff:32 : tx_count: 13345, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:31 cs219-laptop kernel: [   39.693281] rraa: 06:20:a6:57:ff:32 : tx_count: 14225, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:31 cs219-laptop kernel: [   39.700522] rraa: 06:20:a6:57:ff:32 : tx_count: 14345, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:32 cs219-laptop kernel: [   39.810681] rraa: 06:20:a6:57:ff:32 : tx_count: 15465, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 13:03:32 cs219-laptop kernel: [   39.819245] rraa: 06:20:a6:57:ff:32 : tx_count: 15505, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:33 cs219-laptop kernel: [   39.972589] rraa: 06:20:a6:57:ff:32 : tx_count: 16945, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 13:03:33 cs219-laptop kernel: [   39.996434] rraa: 06:20:a6:57:ff:32 : tx_count: 17065, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:35 cs219-laptop kernel: [   40.310230] rraa: 06:20:a6:57:ff:32 : tx_count: 20345, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 13:03:35 cs219-laptop kernel: [   40.321065] rraa: 06:20:a6:57:ff:32 : tx_count: 20505, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:35 cs219-laptop kernel: [   40.335967] rraa: 06:20:a6:57:ff:32 : tx_count: 20665, tx_rate: 48M, loss ratio: 28, window size: 40
Mar  1 13:03:35 cs219-laptop kernel: [   40.354136] rraa: 06:20:a6:57:ff:32 : tx_count: 20825, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:36 cs219-laptop kernel: [   40.376639] rraa: 06:20:a6:57:ff:32 : tx_count: 21105, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:36 cs219-laptop kernel: [   40.389593] rraa: 06:20:a6:57:ff:32 : tx_count: 21225, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:36 cs219-laptop kernel: [   40.482787] rraa: 06:20:a6:57:ff:32 : tx_count: 22145, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:36 cs219-laptop kernel: [   40.487066] rraa: 06:20:a6:57:ff:32 : tx_count: 22225, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:38 cs219-laptop kernel: [   40.760171] rraa: 06:20:a6:57:ff:32 : tx_count: 25225, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:38 cs219-laptop kernel: [   40.781572] rraa: 06:20:a6:57:ff:32 : tx_count: 25305, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:40 cs219-laptop kernel: [   40.954067] rraa: 06:20:a6:57:ff:32 : tx_count: 27545, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:03:40 cs219-laptop kernel: [   40.956533] rraa: 06:20:a6:57:ff:32 : tx_count: 27585, tx_rate: 54M, loss ratio: 2, window size: 40
