Mar  7 17:09:00 cs219-laptop kernel: [ 1069.966983] rraa: 06:20:a6:57:ff:32 : tx_count: 2180, tx_rate: 24M, loss ratio: 46, window size: 40
Mar  7 17:09:01 cs219-laptop kernel: [ 1070.414940] rraa: 06:20:a6:57:ff:32 : tx_count: 2220, tx_rate: 18M, loss ratio: 34, window size: 20
Mar  7 17:09:01 cs219-laptop kernel: [ 1070.639104] rraa: 06:20:a6:57:ff:32 : tx_count: 2240, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  7 17:09:01 cs219-laptop kernel: [ 1071.088718] rraa: 06:20:a6:57:ff:32 : tx_count: 2280, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  7 17:09:03 cs219-laptop kernel: [ 1072.882734] rraa: 06:20:a6:57:ff:32 : tx_count: 2440, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:04 cs219-laptop kernel: [ 1073.329065] rraa: 06:20:a6:57:ff:32 : tx_count: 2446, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  7 17:09:04 cs219-laptop kernel: [ 1073.777548] rraa: 06:20:a6:57:ff:32 : tx_count: 2485, tx_rate: 24M, loss ratio: 40, window size: 40
Mar  7 17:09:05 cs219-laptop kernel: [ 1074.225714] rraa: 06:20:a6:57:ff:32 : tx_count: 2525, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:09:06 cs219-laptop kernel: [ 1076.019024] rraa: 06:20:a6:57:ff:32 : tx_count: 2685, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:07 cs219-laptop kernel: [ 1076.467351] rraa: 06:20:a6:57:ff:32 : tx_count: 2719, tx_rate: 36M, loss ratio: 76, window size: 40
Mar  7 17:09:07 cs219-laptop kernel: [ 1076.916722] rraa: 06:20:a6:57:ff:32 : tx_count: 2759, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  7 17:09:08 cs219-laptop kernel: [ 1077.364004] rraa: 06:20:a6:57:ff:32 : tx_count: 2799, tx_rate: 36M, loss ratio: 57, window size: 40
Mar  7 17:09:09 cs219-laptop kernel: [ 1078.262667] rraa: 06:20:a6:57:ff:32 : tx_count: 2879, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:09 cs219-laptop kernel: [ 1078.708988] rraa: 06:20:a6:57:ff:32 : tx_count: 2885, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  7 17:09:15 cs219-laptop kernel: [ 1079.722103] rraa: 06:20:a6:57:ff:32 : tx_count: 2963, tx_rate: 24M, loss ratio: 44, window size: 40
Mar  7 17:09:15 cs219-laptop kernel: [ 1080.170432] rraa: 06:20:a6:57:ff:32 : tx_count: 3003, tx_rate: 36M, loss ratio: 11, window size: 40
Mar  7 17:09:16 cs219-laptop kernel: [ 1081.067086] rraa: 06:20:a6:57:ff:32 : tx_count: 3083, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:09:17 cs219-laptop kernel: [ 1081.515411] rraa: 06:20:a6:57:ff:32 : tx_count: 3113, tx_rate: 36M, loss ratio: 86, window size: 40
Mar  7 17:09:18 cs219-laptop kernel: [ 1082.412067] rraa: 06:20:a6:57:ff:32 : tx_count: 3192, tx_rate: 24M, loss ratio: 44, window size: 40
Mar  7 17:09:18 cs219-laptop kernel: [ 1082.860394] rraa: 06:20:a6:57:ff:32 : tx_count: 3232, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  7 17:09:19 cs219-laptop kernel: [ 1083.308718] rraa: 06:20:a6:57:ff:32 : tx_count: 3272, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:19 cs219-laptop kernel: [ 1083.757044] rraa: 06:20:a6:57:ff:32 : tx_count: 3279, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  7 17:09:21 cs219-laptop kernel: [ 1085.540577] rraa: 06:20:a6:57:ff:32 : tx_count: 3438, tx_rate: 24M, loss ratio: 60, window size: 40
Mar  7 17:09:22 cs219-laptop kernel: [ 1086.884126] rraa: 06:20:a6:57:ff:32 : tx_count: 3558, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  7 17:09:23 cs219-laptop kernel: [ 1087.781284] rraa: 06:20:a6:57:ff:32 : tx_count: 3638, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:09:24 cs219-laptop kernel: [ 1088.229497] rraa: 06:20:a6:57:ff:32 : tx_count: 3649, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  7 17:09:25 cs219-laptop kernel: [ 1089.574086] rraa: 06:20:a6:57:ff:32 : tx_count: 3767, tx_rate: 24M, loss ratio: 40, window size: 40
Mar  7 17:09:25 cs219-laptop kernel: [ 1090.022592] rraa: 06:20:a6:57:ff:32 : tx_count: 3807, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  7 17:09:26 cs219-laptop kernel: [ 1090.470739] rraa: 06:20:a6:57:ff:32 : tx_count: 3847, tx_rate: 24M, loss ratio: 44, window size: 40
Mar  7 17:09:27 cs219-laptop kernel: [ 1091.367396] rraa: 06:20:a6:57:ff:32 : tx_count: 3927, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  7 17:09:27 cs219-laptop kernel: [ 1091.815722] rraa: 06:20:a6:57:ff:32 : tx_count: 3967, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:28 cs219-laptop kernel: [ 1092.264045] rraa: 06:20:a6:57:ff:32 : tx_count: 3985, tx_rate: 36M, loss ratio: 94, window size: 40
Mar  7 17:09:29 cs219-laptop kernel: [ 1094.057372] rraa: 06:20:a6:57:ff:32 : tx_count: 4144, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:09:30 cs219-laptop kernel: [ 1094.513367] rraa: 06:20:a6:57:ff:32 : tx_count: 4150, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  7 17:09:31 cs219-laptop kernel: [ 1095.404961] rraa: 06:20:a6:57:ff:32 : tx_count: 4229, tx_rate: 24M, loss ratio: 37, window size: 40
Mar  7 17:09:31 cs219-laptop kernel: [ 1095.850662] rraa: 06:20:a6:57:ff:32 : tx_count: 4269, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  7 17:09:32 cs219-laptop kernel: [ 1096.770741] rraa: 06:20:a6:57:ff:32 : tx_count: 4349, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:32 cs219-laptop kernel: [ 1097.218060] rraa: 06:20:a6:57:ff:32 : tx_count: 4386, tx_rate: 36M, loss ratio: 78, window size: 40
Mar  7 17:09:34 cs219-laptop kernel: [ 1099.011368] rraa: 06:20:a6:57:ff:32 : tx_count: 4546, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:09:35 cs219-laptop kernel: [ 1099.467155] rraa: 06:20:a6:57:ff:32 : tx_count: 4582, tx_rate: 36M, loss ratio: 77, window size: 40
Mar  7 17:09:35 cs219-laptop kernel: [ 1099.908021] rraa: 06:20:a6:57:ff:32 : tx_count: 4622, tx_rate: 24M, loss ratio: 43, window size: 40
Mar  7 17:09:36 cs219-laptop kernel: [ 1100.356349] rraa: 06:20:a6:57:ff:32 : tx_count: 4662, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  7 17:09:37 cs219-laptop kernel: [ 1101.253002] rraa: 06:20:a6:57:ff:32 : tx_count: 4742, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:37 cs219-laptop kernel: [ 1101.701328] rraa: 06:20:a6:57:ff:32 : tx_count: 4753, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  7 17:09:38 cs219-laptop kernel: [ 1102.597983] rraa: 06:20:a6:57:ff:32 : tx_count: 4832, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  7 17:09:38 cs219-laptop kernel: [ 1103.046309] rraa: 06:20:a6:57:ff:32 : tx_count: 4845, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  7 17:09:40 cs219-laptop kernel: [ 1104.391290] rraa: 06:20:a6:57:ff:32 : tx_count: 4964, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:40 cs219-laptop kernel: [ 1104.840002] rraa: 06:20:a6:57:ff:32 : tx_count: 4975, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  7 17:09:41 cs219-laptop kernel: [ 1105.288795] rraa: 06:20:a6:57:ff:32 : tx_count: 5015, tx_rate: 24M, loss ratio: 56, window size: 40
Mar  7 17:09:41 cs219-laptop kernel: [ 1106.185736] rraa: 06:20:a6:57:ff:32 : tx_count: 5095, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  7 17:09:42 cs219-laptop kernel: [ 1106.632935] rraa: 06:20:a6:57:ff:32 : tx_count: 5135, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:42 cs219-laptop kernel: [ 1107.081249] rraa: 06:20:a6:57:ff:32 : tx_count: 5155, tx_rate: 36M, loss ratio: 93, window size: 40
Mar  7 17:09:44 cs219-laptop kernel: [ 1108.428501] rraa: 06:20:a6:57:ff:32 : tx_count: 5274, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:44 cs219-laptop kernel: [ 1108.874556] rraa: 06:20:a6:57:ff:32 : tx_count: 5304, tx_rate: 36M, loss ratio: 86, window size: 40
Mar  7 17:09:50 cs219-laptop kernel: [ 1109.438594] rraa: 06:20:a6:57:ff:32 : tx_count: 5344, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:09:50 cs219-laptop kernel: [ 1109.886919] rraa: 06:20:a6:57:ff:32 : tx_count: 5375, tx_rate: 36M, loss ratio: 87, window size: 40
Mar  7 17:09:51 cs219-laptop kernel: [ 1110.338217] rraa: 06:20:a6:57:ff:32 : tx_count: 5414, tx_rate: 24M, loss ratio: 44, window size: 40
Mar  7 17:09:51 cs219-laptop kernel: [ 1110.783573] rraa: 06:20:a6:57:ff:32 : tx_count: 5454, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  7 17:09:52 cs219-laptop kernel: [ 1112.128561] rraa: 06:20:a6:57:ff:32 : tx_count: 5574, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  7 17:09:53 cs219-laptop kernel: [ 1112.576881] rraa: 06:20:a6:57:ff:32 : tx_count: 5579, tx_rate: 36M, loss ratio: 98, window size: 40
