Mar 13 23:05:13 cs219-laptop kernel: [  436.815344] rraa: 06:20:a6:57:ff:32 : tx_count: 6283, tx_rate: 36M, loss ratio: 32, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.817344] rraa: 06:20:a6:57:ff:32 : tx_count: 6323, tx_rate: 48M, loss ratio: 0, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.829009] rraa: 06:20:a6:57:ff:32 : tx_count: 6401, tx_rate: 36M, loss ratio: 48, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.831806] rraa: 06:20:a6:57:ff:32 : tx_count: 6441, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.836395] rraa: 06:20:a6:57:ff:32 : tx_count: 6480, tx_rate: 36M, loss ratio: 31, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.838684] rraa: 06:20:a6:57:ff:32 : tx_count: 6518, tx_rate: 24M, loss ratio: 54, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.840997] rraa: 06:20:a6:57:ff:32 : tx_count: 6558, tx_rate: 36M, loss ratio: 2, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.843396] rraa: 06:20:a6:57:ff:32 : tx_count: 6598, tx_rate: 48M, loss ratio: 2, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.851730] rraa: 06:20:a6:57:ff:32 : tx_count: 6674, tx_rate: 36M, loss ratio: 60, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.857753] rraa: 06:20:a6:57:ff:32 : tx_count: 6711, tx_rate: 24M, loss ratio: 54, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.859803] rraa: 00:12:f0:98:10:f5 : tx_count: 90, tx_rate: 18M, loss ratio: 88, window size: 20
Mar 13 23:05:14 cs219-laptop kernel: [  436.860997] rraa: 06:20:a6:57:ff:32 : tx_count: 6751, tx_rate: 36M, loss ratio: 14, window size: 40
Mar 13 23:05:14 cs219-laptop kernel: [  436.874922] rraa: 06:20:a6:57:ff:32 : tx_count: 6829, tx_rate: 24M, loss ratio: 62, window size: 40
Mar 13 23:05:15 cs219-laptop kernel: [  436.883373] rraa: 06:20:a6:57:ff:32 : tx_count: 6907, tx_rate: 18M, loss ratio: 55, window size: 20
Mar 13 23:05:15 cs219-laptop kernel: [  436.894610] rraa: 06:20:a6:57:ff:32 : tx_count: 6987, tx_rate: 24M, loss ratio: 4, window size: 40
Mar 13 23:05:15 cs219-laptop kernel: [  436.897278] rraa: 06:20:a6:57:ff:32 : tx_count: 7027, tx_rate: 36M, loss ratio: 9, window size: 40
Mar 13 23:05:15 cs219-laptop kernel: [  436.900899] rraa: 06:20:a6:57:ff:32 : tx_count: 7067, tx_rate: 48M, loss ratio: 6, window size: 40
Mar 13 23:05:15 cs219-laptop kernel: [  436.916694] rraa: 06:20:a6:57:ff:32 : tx_count: 7180, tx_rate: 36M, loss ratio: 71, window size: 40
