Mar  1 19:49:01 cs219-laptop kernel: [   87.551960] rraac1: 06:20:a6:57:ff:32 : tx_count: 14827, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:01 cs219-laptop kernel: [   87.562776] rraac1: 06:20:a6:57:ff:32 : tx_count: 14907, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:02 cs219-laptop kernel: [   87.591766] rraac1: 06:20:a6:57:ff:32 : tx_count: 15187, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:02 cs219-laptop kernel: [   87.596696] rraac1: 06:20:a6:57:ff:32 : tx_count: 15227, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:02 cs219-laptop kernel: [   87.680055] rraac1: 06:20:a6:57:ff:32 : tx_count: 15987, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:49:02 cs219-laptop kernel: [   87.710491] rraac1: 06:20:a6:57:ff:32 : tx_count: 16267, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.739249] rraac1: 06:20:a6:57:ff:32 : tx_count: 16547, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.743489] rraac1: 06:20:a6:57:ff:32 : tx_count: 16587, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.792729] rraac1: 06:20:a6:57:ff:32 : tx_count: 17067, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.812388] rraac1: 06:20:a6:57:ff:32 : tx_count: 17187, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.817071] rraac1: 06:20:a6:57:ff:32 : tx_count: 17227, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:49:03 cs219-laptop kernel: [   87.833959] rraac1: 06:20:a6:57:ff:32 : tx_count: 17387, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:04 cs219-laptop kernel: [   87.889409] rraac1: 06:20:a6:57:ff:32 : tx_count: 17827, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:04 cs219-laptop kernel: [   87.896258] rraac1: 06:20:a6:57:ff:32 : tx_count: 17867, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:49:04 cs219-laptop kernel: [   87.909765] rraac1: 06:20:a6:57:ff:32 : tx_count: 17987, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:49:04 cs219-laptop kernel: [   87.932511] rraac1: 06:20:a6:57:ff:32 : tx_count: 18187, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:04 cs219-laptop kernel: [   87.987950] rraac1: 06:20:a6:57:ff:32 : tx_count: 18627, tx_rate: 48M, loss ratio: 11, window size: 40
