output format
<time> <tx rate>

18:15:23 43881, 48M,
18:15:23 43961, 48M,
18:15:23 44041, 48M,
18:15:23 44121, 48M,
18:15:23 44201, 48M,
18:15:23 44281, 48M,
18:15:23 44361, 48M,
18:15:23 44441, 48M,
18:15:24 44521, 48M,
18:15:24 44601, 48M,
18:15:24 44681, 48M,
18:15:24 44761, 48M,
18:15:24 44841, 48M,
18:15:24 44921, 48M,
18:15:24 45001, 48M,
18:15:24 45081, 48M,
18:15:24 45161, 48M,
18:15:24 45241, 48M,
18:15:24 45321, 48M,
18:15:24 45401, 48M,
18:15:25 45481, 48M,
18:15:25 45561, 48M,
18:15:25 45641, 48M,
18:15:25 45721, 48M,
18:15:25 45801, 48M,
18:15:25 45881, 48M,
18:15:25 45961, 48M,
18:15:25 46041, 48M,
18:15:25 46121, 48M,
18:15:25 46201, 54M,
18:15:25 46281, 48M,
18:15:25 46361, 48M,
18:15:26 46441, 48M,
18:15:26 46521, 54M,
18:15:26 46601, 54M,
18:15:26 46681, 48M,
18:15:26 46761, 48M,
18:15:26 46841, 48M,
18:15:26 46921, 48M,
18:15:26 47001, 48M,
18:15:26 47081, 48M,
18:15:26 47161, 48M,
18:15:26 47241, 54M,
18:15:27 47321, 54M,
18:15:27 47401, 48M,
18:15:27 47481, 48M,
18:15:27 47561, 48M,
18:15:27 47641, 48M,
18:15:27 47721, 54M,
18:15:27 47801, 48M,
18:15:27 47881, 48M,
18:15:27 47961, 48M,
18:15:27 48041, 48M,
18:15:27 48121, 48M,
18:15:27 48201, 48M,
18:15:28 48281, 48M,
18:15:28 48361, 48M,
18:15:28 48441, 48M,
18:15:28 48521, 48M,
18:15:28 48601, 48M,
18:15:28 48681, 48M,
18:15:28 48761, 48M,
18:15:28 48841, 48M,
18:15:28 48921, 48M,
18:15:28 49001, 48M,
18:15:29 49081, 54M,
18:15:29 49161, 54M,
18:15:29 49241, 54M,
18:15:29 49321, 48M,
18:15:29 49401, 48M,
18:15:29 49481, 48M,
18:15:29 49561, 48M,
18:15:29 49641, 48M,
18:15:29 49721, 48M,
18:15:29 49801, 48M,
18:15:30 49881, 48M,
18:15:30 49961, 48M,
18:15:30 50041, 48M,
18:15:30 50121, 48M,
18:15:30 50201, 48M,
18:15:30 50281, 48M,
18:15:30 50361, 54M,
18:15:30 50441, 48M,
18:15:30 50521, 48M,
18:15:30 50601, 54M,
18:15:30 50681, 54M,
18:15:30 50761, 54M,
18:15:31 50841, 48M,
18:15:31 50921, 48M,
18:15:31 51001, 48M,
18:15:31 51081, 48M,
18:15:31 51161, 48M,
18:15:31 51241, 48M,
18:15:31 51321, 54M,
18:15:31 51401, 48M,
18:15:31 51481, 48M,
18:15:31 51561, 48M,
18:15:32 51641, 48M,
18:15:32 51721, 48M,
18:15:32 51801, 48M,
18:15:32 51881, 48M,
18:15:32 51961, 48M,
18:15:32 52041, 48M,
18:15:32 52121, 48M,
18:15:32 52201, 48M,
18:15:32 52281, 48M,
18:15:32 52361, 48M,
18:15:32 52441, 48M,
18:15:32 52521, 48M,
18:15:32 52601, 48M,
18:15:33 52681, 48M,
18:15:33 52761, 48M,
18:15:33 52841, 48M,
18:15:33 52921, 48M,
18:15:33 53001, 48M,
18:15:33 53081, 48M,
18:15:33 53161, 48M,
18:15:33 53241, 48M,
18:15:34 53321, 48M,
18:15:34 53401, 48M,
18:15:34 53481, 48M,
18:15:34 53561, 48M,
18:15:34 53641, 48M,
18:15:34 53721, 48M,
18:15:34 53801, 48M,
18:15:34 53881, 48M,
18:15:34 53961, 48M,
18:15:35 54041, 48M,
18:15:35 54121, 48M,
18:15:35 54201, 48M,
18:15:35 54281, 48M,
18:15:35 54361, 48M,
18:15:35 54441, 48M,
18:15:35 54521, 48M,
18:15:35 54601, 48M,
18:15:35 54681, 48M,
18:15:35 54761, 48M,
18:15:35 54841, 54M,
18:15:36 54921, 48M,
18:15:36 55001, 48M,
18:15:36 55081, 48M,
18:15:36 55161, 48M,
18:15:36 55241, 48M,
18:15:36 55321, 48M,
18:15:36 55401, 48M,
18:15:36 55481, 48M,
18:15:36 55561, 48M,
18:15:36 55641, 48M,
18:15:37 55721, 48M,
18:15:37 55801, 48M,
18:15:37 55881, 48M,
18:15:37 55961, 48M,
18:15:37 56041, 48M,
18:15:37 56121, 48M,
18:15:37 56201, 48M,
