output format
<time> <packet count> <tx rate>

17:34:15 1024, 24M
17:34:15 1025, 24M
17:34:15 1026, 24M
17:34:15 1027, 24M
17:34:15 1028, 24M
17:34:15 1029, 24M
17:34:15 06:20:a6:57:ff:32 tx_count:
17:34:15 1031, 24M
17:34:15 1032, 24M
17:34:15 1033, 24M
17:34:15 1034, 24M
17:34:15 1035, 24M
17:34:15 1036, 24M
17:34:15 1037, 24M
17:34:15 1038, 24M
17:34:15 1039, 24M
17:34:15 1040, 24M
17:34:15 1041, 24M
17:34:15 1042, 24M
17:34:15 1043, 24M
17:34:15 1044, 24M
17:34:15 1045, 24M
17:34:15 1046, 24M
17:34:15 1047, 24M
17:34:15 1048, 24M
17:34:15 1049, 24M
17:34:15 1050, 24M
17:34:15 1051, 24M
17:34:15 1052, 24M
17:34:15 1053, 24M
17:34:15 1054, 24M
17:34:15 1055, 24M
17:34:15 1056, 24M
17:34:15 1057, 24M
17:34:15 1058, 24M
17:34:15 1059, 24M
17:34:15 1060, 24M
17:34:15 1061, 24M
17:34:15 1062, 24M
17:34:15 1063, 24M
17:34:15 1064, 24M
17:34:15 1065, 24M
17:34:15 1066, 24M
17:34:15 1067, 24M
17:34:15 1068, 24M
17:34:15 1069, 24M
17:34:15 1070, 24M
17:34:15 1071, 24M
17:34:15 1072, 24M
17:34:15 1073, 24M
17:34:15 1074, 24M
17:34:15 1075, 24M
17:34:15 1076, 24M
17:34:15 1077, 24M
17:34:15 1078, 24M
17:34:15 1079, 24M
17:34:15 1080, 24M
17:34:15 1081, 24M
17:34:15 1082, 24M
17:34:15 1083, 24M
17:34:15 1084, 24M
17:34:15 1085, 24M
17:34:15 1086, 24M
17:34:15 1087, 24M
17:34:15 1088, 24M
17:34:15 1089, 24M
17:34:15 1090, 24M
17:34:15 1091, 24M
17:34:15 1092, 24M
17:34:15 1093, 24M
17:34:15 1094, 24M
17:34:15 1095, 24M
17:34:15 1096, 24M
17:34:15 1097, 24M
17:34:15 1098, 24M
17:34:15 1099, 24M
17:34:15 1100, 24M
17:34:15 1101, 24M
17:34:15 1102, 24M
17:34:15 1103, 24M
17:34:15 1104, 24M
17:34:15 1105, 24M
17:34:15 1106, 24M
17:34:15 1107, 24M
17:34:15 1108, 24M
17:34:15 1109, 24M
17:34:15 1110, 24M
17:34:15 1111, 24M
17:34:15 1112, 24M
17:34:15 1113, 24M
17:34:15 1114, 24M
17:34:15 1115, 24M
17:34:15 1116, 24M
17:34:15 1117, 24M
17:34:15 1118, 24M
17:34:15 1119, 24M
17:34:15 1120, 24M
17:34:15 1121, 24M
17:34:15 1122, 24M
17:34:15 1123, 24M
17:34:15 1124, 24M
17:34:15 1125, 24M
17:34:15 1126, 24M
17:34:15 1127, 24M
17:34:15 1128, 24M
17:34:15 1129, 24M
17:34:15 1130, 24M
17:34:15 1131, 24M
17:34:15 1132, 24M
17:34:15 1133, 24M
17:34:15 1134, 24M
17:34:15 1135, 24M
17:34:15 1136, 24M
17:34:15 1137, 24M
17:34:15 1138, 24M
17:34:15 1139, 24M
17:34:15 1140, 24M
17:34:15 1141, 24M
17:34:15 1142, 24M
17:34:15 1143, 24M
17:34:15 1144, 24M
