Mar 13 22:50:44 cs219-laptop kernel: [  381.702133] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1763
Mar 13 22:50:44 cs219-laptop kernel: [  381.704109] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1763
Mar 13 22:50:44 cs219-laptop kernel: [  381.704117] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1763
Mar 13 22:50:44 cs219-laptop kernel: [  381.707344] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1794
Mar 13 22:50:44 cs219-laptop kernel: [  381.773097] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1895
Mar 13 22:50:44 cs219-laptop kernel: [  381.773108] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1895
Mar 13 22:50:44 cs219-laptop kernel: [  381.775433] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1895
Mar 13 22:50:44 cs219-laptop kernel: [  381.775440] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1895
Mar 13 22:50:44 cs219-laptop kernel: [  381.788838] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1931
Mar 13 22:50:44 cs219-laptop kernel: [  381.788847] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1931
Mar 13 22:50:44 cs219-laptop kernel: [  381.797494] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1931
Mar 13 22:50:44 cs219-laptop kernel: [  381.797502] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1931
Mar 13 22:50:44 cs219-laptop kernel: [  381.798275] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1931
Mar 13 22:50:45 cs219-laptop kernel: [  381.806031] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1997
Mar 13 22:50:45 cs219-laptop kernel: [  381.806039] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1997
Mar 13 22:50:45 cs219-laptop kernel: [  381.812130] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2063
Mar 13 22:50:45 cs219-laptop kernel: [  381.815240] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2098
Mar 13 22:50:45 cs219-laptop kernel: [  381.815250] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2098
Mar 13 22:50:45 cs219-laptop kernel: [  381.817445] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.817452] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.818976] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.818984] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.819882] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.819893] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.819900] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2129
Mar 13 22:50:45 cs219-laptop kernel: [  381.826438] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2230
Mar 13 22:50:45 cs219-laptop kernel: [  381.826445] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2230
Mar 13 22:50:45 cs219-laptop kernel: [  381.828987] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2261
Mar 13 22:50:45 cs219-laptop kernel: [  381.828994] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2261
Mar 13 22:50:45 cs219-laptop kernel: [  381.848062] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2327
Mar 13 22:50:45 cs219-laptop kernel: [  381.848071] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2327
Mar 13 22:50:45 cs219-laptop kernel: [  381.850193] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2362
Mar 13 22:50:45 cs219-laptop kernel: [  381.850201] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2362
Mar 13 22:50:46 cs219-laptop kernel: [  381.854045] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2362
Mar 13 22:50:46 cs219-laptop kernel: [  381.854053] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2362
Mar 13 22:50:46 cs219-laptop kernel: [  381.864501] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.864509] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.866473] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.866481] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.867468] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.867476] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.868838] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.868846] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2459
Mar 13 22:50:46 cs219-laptop kernel: [  381.871798] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2494
Mar 13 22:50:46 cs219-laptop kernel: [  381.907231] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2657
Mar 13 22:50:46 cs219-laptop kernel: [  381.907240] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2657
Mar 13 22:50:46 cs219-laptop kernel: [  381.908364] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2657
Mar 13 22:50:46 cs219-laptop kernel: [  381.908373] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2657
Mar 13 22:50:47 cs219-laptop kernel: [  381.915445] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2692
Mar 13 22:50:47 cs219-laptop kernel: [  381.917902] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2723
Mar 13 22:50:47 cs219-laptop kernel: [  381.917909] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2723
Mar 13 22:50:47 cs219-laptop kernel: [  381.922182] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2789
Mar 13 22:50:47 cs219-laptop kernel: [  381.922189] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2789
Mar 13 22:50:47 cs219-laptop kernel: [  381.923126] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2789
Mar 13 22:50:47 cs219-laptop kernel: [  381.923133] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2789
Mar 13 22:50:47 cs219-laptop kernel: [  381.925622] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2824
Mar 13 22:50:47 cs219-laptop kernel: [  381.926232] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2824
Mar 13 22:50:47 cs219-laptop kernel: [  381.929841] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2855
Mar 13 22:50:47 cs219-laptop kernel: [  381.929848] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2855
Mar 13 22:50:47 cs219-laptop kernel: [  381.930802] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2855
Mar 13 22:50:47 cs219-laptop kernel: [  381.930809] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2855
Mar 13 22:50:47 cs219-laptop kernel: [  381.939801] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.939810] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.950394] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.950403] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.955388] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.955396] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 2987
Mar 13 22:50:47 cs219-laptop kernel: [  381.957074] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 3022
Mar 13 22:50:47 cs219-laptop kernel: [  381.958275] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3022
Mar 13 22:50:47 cs219-laptop kernel: [  381.959235] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 3022
Mar 13 22:50:47 cs219-laptop kernel: [  381.959254] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 3022
Mar 13 22:50:47 cs219-laptop kernel: [  381.960031] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 3053
Mar 13 22:50:48 cs219-laptop kernel: [  381.974100] 00:19:7e:81:f1:1c minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:48 cs219-laptop kernel: [  381.974108] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3119
Mar 13 22:50:48 cs219-laptop kernel: [  381.992802] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 3185
Mar 13 22:50:48 cs219-laptop kernel: [  381.992811] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3185
Mar 13 22:50:48 cs219-laptop kernel: [  381.994142] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 3185
Mar 13 22:50:48 cs219-laptop kernel: [  381.994149] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3185
Mar 13 22:50:48 cs219-laptop kernel: [  381.997130] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 3220
Mar 13 22:50:48 cs219-laptop kernel: [  381.997138] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3220
Mar 13 22:50:48 cs219-laptop kernel: [  381.999656] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 3251
Mar 13 22:50:48 cs219-laptop kernel: [  382.000616] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3251
Mar 13 22:50:48 cs219-laptop kernel: [  382.000637] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 3251
Mar 13 22:50:48 cs219-laptop kernel: [  382.002271] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3251
Mar 13 22:50:48 cs219-laptop kernel: [  382.022490] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 3352
Mar 13 22:50:48 cs219-laptop kernel: [  382.022980] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 3352
