Mar 10 20:10:35 cs219-laptop kernel: [  806.277977] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7575
Mar 10 20:10:35 cs219-laptop kernel: [  806.284891] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 7610
Mar 10 20:10:35 cs219-laptop kernel: [  806.284899] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7610
Mar 10 20:10:35 cs219-laptop kernel: [  806.304726] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7610
Mar 10 20:10:36 cs219-laptop kernel: [  806.337816] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7676
Mar 10 20:10:36 cs219-laptop kernel: [  806.356886] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7742
Mar 10 20:10:36 cs219-laptop kernel: [  806.367280] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7742
Mar 10 20:10:36 cs219-laptop kernel: [  806.375164] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7742
Mar 10 20:10:36 cs219-laptop kernel: [  806.375184] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7742
Mar 10 20:10:37 cs219-laptop kernel: [  806.378751] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.385669] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.385677] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.387639] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.387648] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.391146] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 7773
Mar 10 20:10:37 cs219-laptop kernel: [  806.391154] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7773
