Feb 26 17:46:27 cs219-laptop kernel: [ 1328.706714] rraa: 06:20:a6:57:ff:32 : tx_count: 3561, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.711906] rraa: 06:20:a6:57:ff:32 : tx_count: 3601, tx_rate: 48M, loss ratio: 23, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.716794] rraa: 06:20:a6:57:ff:32 : tx_count: 3641, tx_rate: 36M, loss ratio: 24, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.723500] rraa: 06:20:a6:57:ff:32 : tx_count: 3681, tx_rate: 36M, loss ratio: 16, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.731658] rraa: 06:20:a6:57:ff:32 : tx_count: 3721, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.737085] rraa: 06:20:a6:57:ff:32 : tx_count: 3761, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.741610] rraa: 06:20:a6:57:ff:32 : tx_count: 3801, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.746555] rraa: 06:20:a6:57:ff:32 : tx_count: 3841, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.766279] rraa: 06:20:a6:57:ff:32 : tx_count: 3881, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.792914] rraa: 06:20:a6:57:ff:32 : tx_count: 3921, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.798378] rraa: 06:20:a6:57:ff:32 : tx_count: 3961, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.809096] rraa: 06:20:a6:57:ff:32 : tx_count: 4001, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.817012] rraa: 06:20:a6:57:ff:32 : tx_count: 4041, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.824592] rraa: 06:20:a6:57:ff:32 : tx_count: 4081, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.843415] rraa: 06:20:a6:57:ff:32 : tx_count: 4121, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.848651] rraa: 06:20:a6:57:ff:32 : tx_count: 4161, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:28 cs219-laptop kernel: [ 1328.854343] rraa: 06:20:a6:57:ff:32 : tx_count: 4201, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.860541] rraa: 06:20:a6:57:ff:32 : tx_count: 4241, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.866472] rraa: 06:20:a6:57:ff:32 : tx_count: 4281, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.875628] rraa: 06:20:a6:57:ff:32 : tx_count: 4321, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.880757] rraa: 06:20:a6:57:ff:32 : tx_count: 4361, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.899633] rraa: 06:20:a6:57:ff:32 : tx_count: 4401, tx_rate: 48M, loss ratio: 6, window size: 40
