output format
<time> <tx rate>

17:46:59 28561, 48M,
17:46:59 28601, 48M,
17:46:59 28641, 48M,
17:46:59 28681, 48M,
17:46:59 28721, 48M,
17:46:59 28761, 54M,
17:46:59 28801, 48M,
17:46:59 28841, 54M,
17:46:59 28881, 48M,
17:46:59 28921, 54M,
17:46:59 28961, 48M,
17:46:59 29001, 48M,
17:46:59 29041, 48M,
17:46:59 29081, 48M,
17:46:59 29121, 48M,
17:46:59 29161, 48M,
17:46:59 29201, 54M,
17:46:59 29241, 54M,
17:46:59 29281, 48M,
17:46:59 29321, 48M,
17:46:59 29361, 48M,
17:46:59 29401, 48M,
17:47:00 29441, 54M,
17:47:00 29481, 54M,
17:47:00 29521, 54M,
17:47:00 29561, 54M,
17:47:00 29601, 48M,
17:47:00 29641, 48M,
17:47:00 29681, 48M,
17:47:00 29721, 48M,
17:47:00 29761, 48M,
17:47:00 29801, 54M,
17:47:00 29841, 54M,
17:47:00 29881, 54M,
17:47:00 29921, 48M,
17:47:00 29961, 54M,
17:47:00 30001, 48M,
17:47:00 30041, 48M,
17:47:00 30081, 48M,
17:47:00 30121, 48M,
17:47:00 30161, 48M,
17:47:00 30201, 54M,
17:47:00 30241, 54M,
17:47:00 30281, 48M,
17:47:00 30321, 48M,
17:47:00 30361, 48M,
17:47:01 30401, 36M,
17:47:01 30441, 48M,
17:47:01 30481, 48M,
17:47:01 30521, 48M,
17:47:01 30561, 54M,
17:47:01 30601, 54M,
17:47:01 30641, 48M,
17:47:01 30681, 54M,
17:47:01 30721, 54M,
17:47:01 30761, 54M,
17:47:01 30801, 48M,
17:47:01 30841, 48M,
17:47:01 30881, 54M,
17:47:01 30921, 54M,
17:47:01 30961, 54M,
17:47:01 31001, 54M,
17:47:01 31041, 54M,
17:47:01 31081, 54M,
17:47:01 31121, 48M,
17:47:01 31161, 48M,
17:47:01 31201, 48M,
17:47:01 31241, 54M,
17:47:02 31281, 54M,
17:47:02 31321, 54M,
17:47:02 31361, 48M,
17:47:02 31401, 48M,
17:47:02 31441, 54M,
17:47:02 31481, 48M,
17:47:02 31521, 54M,
17:47:02 31561, 54M,
17:47:02 31601, 48M,
17:47:02 31641, 48M,
17:47:02 31681, 48M,
17:47:02 31721, 48M,
17:47:02 31761, 48M,
17:47:02 31801, 48M,
17:47:02 31841, 48M,
17:47:02 31881, 48M,
17:47:02 31921, 48M,
17:47:02 31961, 48M,
17:47:02 32001, 48M,
17:47:02 32041, 48M,
17:47:02 32081, 48M,
17:47:02 32121, 48M,
17:47:03 32161, 48M,
17:47:03 32201, 48M,
17:47:03 32241, 48M,
17:47:03 32281, 48M,
17:47:03 32321, 48M,
17:47:03 32361, 48M,
17:47:03 32401, 48M,
17:47:03 32441, 48M,
17:47:03 32481, 48M,
17:47:03 32521, 48M,
17:47:03 32561, 48M,
17:47:03 32601, 54M,
17:47:03 32641, 48M,
17:47:03 32681, 48M,
17:47:03 32721, 48M,
17:47:03 32761, 48M,
17:47:03 32801, 48M,
17:47:03 32841, 48M,
17:47:03 32881, 54M,
17:47:03 32921, 54M,
17:47:03 32961, 48M,
17:47:03 33001, 48M,
17:47:03 33041, 48M,
17:47:03 33081, 48M,
17:47:04 33121, 48M,
17:47:04 33161, 48M,
17:47:04 33201, 48M,
17:47:04 33241, 48M,
17:47:04 33281, 48M,
17:47:04 33321, 48M,
17:47:04 33361, 48M,
17:47:04 33401, 54M,
17:47:04 33441, 48M,
17:47:04 33481, 48M,
17:47:04 33521, 48M,
17:47:04 33561, 48M,
17:47:04 33601, 48M,
17:47:04 33641, 48M,
17:47:04 33681, 48M,
17:47:04 33721, 48M,
17:47:04 33761, 48M,
17:47:04 33801, 48M,
17:47:04 33841, 48M,
17:47:04 33881, 48M,
17:47:05 33921, 48M,
17:47:05 33961, 48M,
17:47:05 34001, 48M,
17:47:05 34041, 48M,
17:47:05 34081, 48M,
17:47:05 34121, 48M,
17:47:05 34161, 48M,
17:47:05 34201, 48M,
17:47:05 34241, 48M,
17:47:05 34281, 48M,
17:47:05 34321, 48M,
17:47:05 34361, 48M,
17:47:05 34401, 48M,
17:47:05 34441, 36M,
17:47:05 34481, 48M,
17:47:05 34521, 54M,
17:47:05 34561, 48M,
17:47:05 34601, 48M,
17:47:05 34641, 48M,
17:47:06 34681, 48M,
17:47:06 34721, 54M,
17:47:06 34761, 48M,
17:47:06 34801, 48M,
17:47:06 34841, 48M,
17:47:06 34881, 48M,
17:47:06 34921, 48M,
17:47:06 34961, 48M,
17:47:06 35001, 48M,
17:47:06 35041, 48M,
17:47:06 35081, 48M,
17:47:06 35121, 54M,
17:47:06 35161, 48M,
17:47:06 35201, 48M,
17:47:06 35241, 48M,
17:47:06 35281, 48M,
17:47:06 35321, 48M,
17:47:06 35361, 48M,
17:47:06 35401, 48M,
17:47:06 35441, 48M,
17:47:06 35481, 48M,
17:47:07 35521, 48M,
17:47:07 35561, 48M,
17:47:07 35601, 48M,
17:47:07 35641, 48M,
17:47:07 35681, 48M,
17:47:07 35721, 54M,
17:47:07 35761, 48M,
17:47:07 35801, 48M,
17:47:07 35841, 48M,
17:47:07 35881, 48M,
17:47:07 35921, 36M,
17:47:07 35961, 36M,
17:47:07 36001, 48M,
17:47:07 36041, 48M,
17:47:07 36081, 48M,
17:47:07 36121, 48M,
17:47:07 36161, 48M,
17:47:07 36201, 54M,
17:47:08 36241, 54M,
17:47:08 36281, 48M,
17:47:08 36321, 48M,
17:47:08 36361, 48M,
17:47:08 36401, 48M,
17:47:08 36441, 48M,
17:47:08 36481, 48M,
17:47:08 36521, 48M,
17:47:08 36561, 48M,
17:47:08 36601, 48M,
17:47:08 36641, 48M,
17:47:08 36681, 48M,
17:47:08 36721, 48M,
17:47:08 36761, 48M,
17:47:09 36801, 48M,
17:47:09 36841, 48M,
17:47:09 36881, 48M,
17:47:09 36921, 48M,
17:47:09 36961, 48M,
17:47:09 37001, 48M,
17:47:09 37041, 48M,
17:47:09 37081, 48M,
17:47:09 37121, 48M,
17:47:09 37161, 48M,
17:47:09 37201, 48M,
17:47:09 37241, 48M,
17:47:09 37281, 48M,
17:47:09 37321, 48M,
17:47:09 37361, 48M,
17:47:09 37401, 48M,
17:47:09 37441, 48M,
17:47:09 37481, 48M,
17:47:10 37521, 48M,
17:47:10 37561, 48M,
17:47:10 37601, 48M,
17:47:10 37641, 48M,
17:47:10 37681, 48M,
17:47:10 37721, 48M,
17:47:10 37761, 48M,
17:47:10 37801, 48M,
17:47:10 37841, 48M,
17:47:10 37881, 48M,
17:47:10 37921, 48M,
17:47:10 37961, 54M,
17:47:10 38001, 48M,
17:47:10 38041, 48M,
17:47:10 38081, 48M,
17:47:10 38121, 48M,
17:47:11 38161, 48M,
17:47:11 38201, 48M,
17:47:11 38241, 54M,
17:47:11 38281, 48M,
17:47:11 38321, 48M,
17:47:11 38361, 48M,
17:47:11 38401, 36M,
17:47:11 38441, 48M,
17:47:11 38481, 48M,
17:47:11 38521, 48M,
17:47:11 38561, 48M,
17:47:11 38601, 48M,
17:47:11 38641, 48M,
17:47:11 38681, 48M,
17:47:11 38721, 48M,
17:47:11 38761, 48M,
17:47:11 38801, 48M,
17:47:12 38841, 54M,
17:47:12 38881, 54M,
17:47:12 38921, 48M,
17:47:12 38961, 48M,
17:47:12 39001, 48M,
17:47:12 39041, 48M,
17:47:12 39081, 48M,
17:47:12 39121, 48M,
17:47:12 39161, 48M,
17:47:12 39201, 48M,
17:47:12 39241, 48M,
17:47:12 39281, 48M,
17:47:12 39321, 48M,
17:47:12 39361, 48M,
17:47:12 39401, 48M,
17:47:12 39441, 48M,
17:47:12 39481, 48M,
17:47:12 39521, 48M,
17:47:12 39561, 48M,
17:47:12 39601, 48M,
17:47:13 39641, 48M,
17:47:13 39681, 48M,
17:47:13 39721, 48M,
17:47:13 39761, 48M,
17:47:13 39801, 48M,
17:47:13 39841, 48M,
